Words,Count,Adjusted_Freq,Valence,Subjectivity
happy,90,0.042989592,0.8,1
some,89,0.04251193,0,0
saw,89,0.04251193,0,0
well,89,0.04251193,0,0
difficult,89,0.04251193,-0.5,1
remarried,88,0.042034267,0,0
night,88,0.042034267,0,0
since,88,0.042034267,0,0
stay,88,0.042034267,0,0
smoked,88,0.042034267,0,0
playing,88,0.042034267,0,0
suicide,87,0.041556605,0,0
spent,87,0.041556605,-0.1,0.1
siblings,87,0.041556605,0,0
2nd,86,0.041078943,0,0
just,86,0.041078943,0,0
DUI,86,0.041078943,0,0
point,86,0.041078943,0,0
verbally,86,0.041078943,0,0
himself,85,0.040601281,0,0
substance,84,0.040123619,0,0
feeling,84,0.040123619,0,0
involved,84,0.040123619,0,0
Adult,84,0.040123619,0.1,0.3
ended,84,0.040123619,0,0
SCHOOL,84,0.040123619,0,0
me,84,0.040123619,0,0
wanted,84,0.040123619,0,0
gave,84,0.040123619,0,0
jobs,83,0.039645957,0,0
do,83,0.039645957,0,0
33,83,0.039645957,0,0
maternal,83,0.039645957,0,0
YEARS,83,0.039645957,0,0
bullied,82,0.039168295,0,0
32,81,0.038690633,0,0
snorting,80,0.03821297,0,0
weekends,80,0.03821297,0,0
multiple,80,0.03821297,0,0
much,79,0.037735308,0.2,0.2
raised,79,0.037735308,0,0
It,79,0.037735308,0,0
move,79,0.037735308,0,0
smoke,79,0.037735308,0,0
trouble,79,0.037735308,-0.2,0.2
start,79,0.037735308,0,0
broke,79,0.037735308,0,0
Month,79,0.037735308,0,0
good,79,0.037735308,0.7,0.6
own,79,0.037735308,0.6,1
want,78,0.037257646,0,0
help,78,0.037257646,0,0
decided,78,0.037257646,0,0
girlfriend,77,0.036779984,0,0
29,77,0.036779984,0,0
social,77,0.036779984,0.033333333,0.066666667
This,77,0.036779984,0,0
orally,76,0.036302322,0,0
make,75,0.03582466,0,0
diagnosed,75,0.03582466,0,0
1212,75,0.03582466,0,0
University,74,0.035346998,0,0
if,74,0.035346998,0,0
3rd,74,0.035346998,0,0
longer,74,0.035346998,0,0
court,74,0.035346998,0,0
often,73,0.034869336,0,0
passed,73,0.034869336,0,0
schools,72,0.034391673,0,0
accident,72,0.034391673,0,0
caused,72,0.034391673,0,0
what,72,0.034391673,0,0
averaging,71,0.033914011,0,0
money,71,0.033914011,0,0
mothers,71,0.033914011,0,0
Cocaine,70,0.033436349,0,0
My,69,0.032958687,0,0
taken,69,0.032958687,0,0
sent,68,0.032481025,0,0
baby,68,0.032481025,0,0
physical,68,0.032481025,0,0.142857143
together,68,0.032481025,0,0
man,68,0.032481025,0,0
38,68,0.032481025,0,0
completed,68,0.032481025,0,0
met,67,0.032003363,0,0
doing,66,0.031525701,0,0
towards,66,0.031525701,0,0
called,66,0.031525701,0,0
came,65,0.031048038,0,0
date,65,0.031048038,0,0
experience,65,0.031048038,0,0
major,65,0.031048038,0.0625,0.5
younger,65,0.031048038,0,0
cocaine,64,0.030570376,0,0
stayed,64,0.030570376,0,0
liquor,64,0.030570376,0,0
degree,64,0.030570376,0,0
attend,64,0.030570376,0,0
current,63,0.030092714,0,0.4
counselor,63,0.030092714,0,0
dating,63,0.030092714,0,0
group,63,0.030092714,0,0
1g,63,0.030092714,0,0
best,62,0.029615052,1,0.3
leave,62,0.029615052,0,0
August,62,0.029615052,0,0
death,62,0.029615052,0,0
DHS,62,0.029615052,0,0
really,61,0.02913739,0.2,0.2
worth,61,0.02913739,0.3,0.1
these,61,0.02913739,0,0
put,61,0.02913739,0,0
sleep,61,0.02913739,0,0
incident,60,0.028659728,0,0
Cigarettes,60,0.028659728,0,0
2014,60,0.028659728,0,0
PCP,60,0.028659728,0,0
cancer,60,0.028659728,0,0
fighting,60,0.028659728,0,0
kids,59,0.028182066,0,0
grandparents,59,0.028182066,0,0
trauma,59,0.028182066,0,0
following,59,0.028182066,0,0.1
now,59,0.028182066,0,0
between,59,0.028182066,0,0
attending,59,0.028182066,0,0
joint,59,0.028182066,0,0
difficulty,59,0.028182066,0,0
36,59,0.028182066,0,0
half,59,0.028182066,-0.166666667,0.166666667
always,58,0.027704404,0,0
see,58,0.027704404,0,0
become,58,0.027704404,0,0
pain,58,0.027704404,0,0
June,58,0.027704404,0,0
released,57,0.027226741,0,0
full,57,0.027226741,0.35,0.55
church,57,0.027226741,0,0
On,57,0.027226741,0,0
management,57,0.027226741,0,0
moving,57,0.027226741,0,0
therapist,57,0.027226741,0,0
twice,57,0.027226741,0,0
pregnancy,56,0.026749079,0,0
low,56,0.026749079,0,0.3
31,56,0.026749079,0,0
paternal,56,0.026749079,0,0
1st,56,0.026749079,0,0
activities,56,0.026749079,0,0
Overall,56,0.026749079,0,0
hit,56,0.026749079,0,0
Drug,56,0.026749079,0,0
2535,55,0.026271417,0,0
returned,55,0.026271417,0,0
experiencing,55,0.026271417,0,0
eventually,55,0.026271417,0,0
anxious,55,0.026271417,-0.25,1
weekend,55,0.026271417,0,0
served,55,0.026271417,0,0
depressive,55,0.026271417,0,0
charge,55,0.026271417,0,0
struggled,55,0.026271417,0,0
episode,54,0.025793755,0,0
psychiatrist,54,0.025793755,0,0
couple,54,0.025793755,0,0
Currently,54,0.025793755,0,0.4
placed,54,0.025793755,0,0
obtained,54,0.025793755,0,0
charged,54,0.025793755,0,0
end,54,0.025793755,0,0
outside,54,0.025793755,0,0.05
health,54,0.025793755,0,0
are,54,0.025793755,0,0
quit,53,0.025316093,0,0
bad,53,0.025316093,-0.7,0.666666667
Was,52,0.024838431,0,0
seeing,52,0.024838431,0,0
affair,52,0.024838431,0,0
business,51,0.024360769,0,0
almost,51,0.024360769,0,0
Texas,51,0.024360769,0,0
grades,51,0.024360769,0,0
sports,51,0.024360769,0,0
know,51,0.024360769,0,0
½,50,0.023883107,0,0
separated,50,0.023883107,0,0
attacks,50,0.023883107,0,0
stolen,50,0.023883107,0,0
panic,50,0.023883107,0,0
raped,49,0.023405444,0,0
stop,49,0.023405444,0,0
aunt,49,0.023405444,0,0
sentenced,49,0.023405444,0,0
thought,49,0.023405444,0,0
weight,49,0.023405444,0,0
sexually,48,0.022927782,0.5,0.833333333
held,48,0.022927782,0,0
even,48,0.022927782,0,0
July,48,0.022927782,0,0
ran,48,0.022927782,0,0
positive,47,0.02245012,0.227272727,0.545454545
1oz,47,0.02245012,0,0
early,47,0.02245012,0.1,0.3
trying,47,0.02245012,0,0
biological,47,0.02245012,0,0
will,47,0.02245012,0,0
graduating,46,0.021972458,0,0
negative,46,0.021972458,-0.3,0.4
molested,46,0.021972458,0,0
experienced,46,0.021972458,0.8,0.9
sexual,46,0.021972458,0.5,0.833333333
under,46,0.021972458,0,0
sober,46,0.021972458,0.1,0.2
abused,45,0.021494796,0,0
hours,45,0.021494796,0,0
lasted,45,0.021494796,0,0
While,45,0.021494796,0,0
thoughts,45,0.021494796,0,0
hard,45,0.021494796,-0.291666667,0.541666667
8th,45,0.021494796,0,0
Start,45,0.021494796,0,0
A,44,0.021017134,0,0
event,44,0.021017134,0,0
Also,44,0.021017134,0,0
January,44,0.021017134,0,0
others,44,0.021017134,0,0
40,44,0.021017134,0,0
uncle,44,0.021017134,0,0
apartment,44,0.021017134,0,0
drunk,44,0.021017134,-0.5,1
Heroin,43,0.020539472,0,0
alcoholic,43,0.020539472,-0.25,0.5
control,43,0.020539472,0,0
