Words,Count,Adjusted_Freq,Valence,Subjectivity,,
petty,12,0.001008658,0,0,,
jobless,1,8.40548E-05,0,0,,
Early,2,0.00016811,0.1,0.3,,
confident,3,0.000252164,0.5,0.833333333,,
much,63,0.005295453,0.2,0.2,,
basic,1,8.40548E-05,0,0.125,,
expected,1,8.40548E-05,-0.1,0.4,,
flexible,1,8.40548E-05,0,0,,
unsupportive,1,8.40548E-05,0,0,,
dry,1,8.40548E-05,-0.066666667,0.6,,
Parttime,1,8.40548E-05,0,0,,
Talented,1,8.40548E-05,0.7,0.9,,
extracurricular,9,0.000756493,0,0,,
Loratab,2,0.00016811,0,0,,
harms,1,8.40548E-05,0,0,,
ugly,5,0.000420274,-0.7,1,,
near,1,8.40548E-05,0.1,0.4,,
placemade,1,8.40548E-05,0,0,,
dizzy,1,8.40548E-05,0,0,,
faked,1,8.40548E-05,0,0,,
1814,1,8.40548E-05,0,0,,
recurrent,2,0.00016811,0,0,,
45year,1,8.40548E-05,0,0,,
1819,1,8.40548E-05,0,0,,
several,130,0.010927124,0,0,,
independent,4,0.000336219,0,0.125,,
myocardial,1,8.40548E-05,0,0,,
catholic,1,8.40548E-05,0,0.1,,
hang,2,0.00016811,0,0,,
beer12,1,8.40548E-05,0,0,,
military,27,0.00226948,-0.1,0.1,,
jealous,6,0.000504329,0,0,,
homeschooled,2,0.00016811,0,0,,
protected,1,8.40548E-05,0,0,,
prescribed,8,0.000672438,0,0,,
forceful,1,8.40548E-05,0,0,,
academic,7,0.000588384,0,0,,
pack24,1,8.40548E-05,0,0,,
corporate,1,8.40548E-05,0,0,,
musical,3,0.000252164,0,0,,
dads,1,8.40548E-05,0,0,,
left,3,0.000252164,0,0,,
seasonal,2,0.00016811,0,0,,
athletic,3,0.000252164,0,0,,
Laureate,3,0.000252164,0,0,,
sleepy,2,0.00016811,0,0,,
psych,7,0.000588384,0,0,,
human,6,0.000504329,0,0.1,,
previous,36,0.003025973,-0.166666667,0.166666667,,
teenaged,4,0.000336219,0,0,,
monitored,1,8.40548E-05,0,0,,
Closeknit,1,8.40548E-05,0,0,,
IOP,2,0.00016811,0,0,,
unwanted,1,8.40548E-05,0,0,,
innocent,1,8.40548E-05,0.5,0.7,,
5g,1,8.40548E-05,0,0,,
formal,3,0.000252164,0,0,,
insensitive,1,8.40548E-05,0,0,,
involuntary,2,0.00016811,0,0,,
possible,10,0.000840548,0,1,,
advanced,5,0.000420274,0.4,0.6,,
shoulder,3,0.000252164,0,0,,
57,1,8.40548E-05,0,0,,
56,2,0.00016811,0,0,,
manual,1,8.40548E-05,0,0,,
53,1,8.40548E-05,0,0,,
52,1,8.40548E-05,0,0,,
specific,6,0.000504329,0,0.125,,
nude,1,8.40548E-05,0,0,,
right,7,0.000588384,0.285714286,0.535714286,,
old,278,0.023367235,0.1,0.2,,
HS,15,0.001260822,0,0,,
easy,3,0.000252164,0.433333333,0.833333333,,
dead,10,0.000840548,-0.2,0.4,,
45XWeek,1,8.40548E-05,0,0,,
indirect,1,8.40548E-05,0,0,,
confusing,2,0.00016811,-0.3,0.4,,
Life,1,8.40548E-05,0,0,,
32mg,1,8.40548E-05,0,0,,
purple,1,8.40548E-05,0,0,,
opposite,2,0.00016811,0,0,,
creative,1,8.40548E-05,0.5,1,,
icy,1,8.40548E-05,-0.1,0.1,,
denied,1,8.40548E-05,0,0,,
intolerant,1,8.40548E-05,0,0,,
theological,1,8.40548E-05,0,0,,
core,2,0.00016811,0,0,,
dental,3,0.000252164,0,0,,
Daily,18,0.001512986,0,0,,
PCPlaced,1,8.40548E-05,0,0,,
graduated,13,0.001092712,0,0,,
First,2,0.00016811,0.25,0.333333333,,
anime,1,8.40548E-05,0,0,,
Use,21,0.001765151,0,0,,
45xweek,1,8.40548E-05,0,0,,
thankful,2,0.00016811,0,0,,
anorexic,1,8.40548E-05,0,0,,
